iter	Logloss
0	0.6860983865
1	0.6795834551
2	0.6726447679
3	0.6659818207
4	0.6596017017
5	0.6540332169
6	0.6478373152
7	0.6421961453
8	0.6386757962
9	0.6332637285
10	0.6281071036
11	0.6228159423
12	0.6179558679
13	0.6130489125
14	0.6081317291
15	0.6033301106
16	0.5990096962
17	0.5947474706
18	0.5904026896
19	0.5861877876
20	0.58225308
21	0.5783590892
22	0.5745340049
23	0.57142569
24	0.5677393447
25	0.5639951459
26	0.5605632634
27	0.5571285449
28	0.5536291581
29	0.5503273337
30	0.5470752179
31	0.5444241509
32	0.5412142036
33	0.5382227005
34	0.535013598
35	0.5321987186
36	0.5296042061
37	0.5271316391
38	0.5247152824
39	0.5220905013
40	0.519645943
41	0.5172131152
42	0.5153961603
43	0.5131020725
44	0.5109052286
45	0.5086927479
46	0.5063109065
47	0.5041573703
48	0.5024643355
49	0.5004754148
50	0.4991827581
51	0.4973315004
52	0.4954098463
53	0.4940267551
54	0.4924922133
55	0.4910873603
56	0.4893617496
57	0.4877536215
58	0.485984015
59	0.4845775401
60	0.4829078281
61	0.4812980036
62	0.4797741067
63	0.4782526337
64	0.4769693978
65	0.4753813412
66	0.4738852149
67	0.4723067811
68	0.4709246172
69	0.4694338765
70	0.4681151576
71	0.4670336135
72	0.4658871199
73	0.4648507062
74	0.4636443684
75	0.4624744013
76	0.4612562939
77	0.4601907573
78	0.4592527768
79	0.4581381099
80	0.4571511245
81	0.456066222
82	0.4549708457
83	0.4539500026
84	0.4530546399
85	0.4521382401
86	0.451336824
87	0.4503680305
88	0.4494892637
89	0.4485561753
90	0.4476856666
91	0.447031435
92	0.4461987939
93	0.4453573814
94	0.4445343824
95	0.4438477389
96	0.4431080047
97	0.4422826061
98	0.4414911074
99	0.4408307054
100	0.440236497
101	0.4396758292
102	0.43887601
103	0.4382918249
104	0.4377112921
105	0.4370831076
106	0.4365368037
107	0.4357584051
108	0.4352091373
109	0.4348001025
110	0.4341975419
111	0.4336801373
112	0.4329884177
113	0.4325345325
114	0.4319767249
115	0.4314426321
116	0.4307844639
117	0.4303152318
118	0.4297578156
119	0.4291275282
120	0.428591586
121	0.4280341357
122	0.427537831
123	0.4270162808
124	0.4264460879
125	0.4260615441
126	0.4255232518
127	0.4251411056
128	0.4246742963
129	0.4241452147
130	0.42362209
131	0.4231116998
132	0.4226242749
133	0.4222681792
134	0.4218371115
135	0.4213589921
136	0.4209134628
137	0.4206851899
138	0.4205334029
139	0.4201359626
140	0.4196795087
141	0.4193387927
142	0.4188801592
143	0.41848716
144	0.4180154878
145	0.4175716818
146	0.4171660014
147	0.4168964659
148	0.4164360359
149	0.4160135816
150	0.4156288601
151	0.4153859509
152	0.4150539708
153	0.4147160048
154	0.4146120912
155	0.4142645338
156	0.4139302395
157	0.4135772246
158	0.4132608878
159	0.4129435414
160	0.4125838692
161	0.4124253116
162	0.4120619041
163	0.4118004578
164	0.4114915217
165	0.4111370664
166	0.4109458043
167	0.4106158276
168	0.410350779
169	0.4102734448
170	0.4101756516
171	0.4098656446
172	0.4096521749
173	0.4094958673
174	0.4092400545
175	0.4089397432
176	0.4086620261
177	0.4084127852
178	0.4082646207
179	0.4079759504
180	0.4077548168
181	0.4075432307
182	0.4072987551
183	0.4070353995
184	0.4067222353
185	0.4066701177
186	0.4063715185
187	0.4061276743
188	0.4058589306
189	0.4055818661
190	0.4053805646
191	0.4051936482
192	0.4049543222
193	0.4048001815
194	0.4046928569
195	0.4045441532
196	0.404328033
197	0.4042310062
198	0.403988174
199	0.4039786342
200	0.4037459914
201	0.4034623984
202	0.4033149018
203	0.4030784285
204	0.4028995334
205	0.4026724065
206	0.4024208088
207	0.4022368722
208	0.402047332
209	0.4018912832
210	0.4017550618
211	0.4016034
212	0.4013998513
213	0.4012232101
214	0.4010221672
215	0.4008946752
216	0.400745278
217	0.4007003301
218	0.4005950105
219	0.4004398551
220	0.4002627878
221	0.4000695188
222	0.3998488813
223	0.3996980675
224	0.3995262275
225	0.3993381546
226	0.3991845496
227	0.3989998489
228	0.3989068856
229	0.3987838265
230	0.398666202
231	0.3984647396
232	0.3982465551
233	0.3980988738
234	0.3979625567
235	0.3979449132
236	0.3978420165
237	0.3977182458
238	0.3975892712
239	0.3973219667
240	0.3970903082
241	0.39694427
242	0.3969264764
243	0.3968161826
244	0.3966951505
245	0.3965440953
246	0.3964318845
247	0.3962972323
248	0.3961667719
249	0.3960643606
250	0.3959848256
251	0.3958630769
252	0.3956436941
253	0.3956258453
254	0.3955626373
255	0.3954505448
256	0.3953077095
257	0.395217387
258	0.3950679082
259	0.3949248758
260	0.3947779128
261	0.3947070025
262	0.3946246869
263	0.3944867674
264	0.3944397096
265	0.3942167492
266	0.3942072745
267	0.3940362869
268	0.3938863643
269	0.393778925
270	0.3936388172
271	0.3935517126
272	0.3934687301
273	0.3933606861
274	0.3933383328
275	0.3931932828
276	0.3930900262
277	0.3930084515
278	0.3929507823
279	0.3927966363
280	0.3926086727
281	0.3924332953
282	0.3922793368
283	0.3921692147
284	0.391944896
285	0.3918351298
286	0.3917202964
287	0.3916425022
288	0.3915379696
289	0.3914656344
290	0.3914423196
291	0.3913345833
292	0.3913126887
293	0.3912248949
294	0.3912051693
295	0.3911147719
296	0.3909573761
297	0.3908899148
298	0.390862222
299	0.3908327128
