iter	Logloss
0	0.6616380568
1	0.6340726252
2	0.6079026269
3	0.5840271908
4	0.5642707851
5	0.5446927674
6	0.52658649
7	0.5109090571
8	0.4970258395
9	0.4838151953
10	0.4712515386
11	0.4589805757
12	0.4473219612
13	0.4373897046
14	0.4278951012
15	0.4202639219
16	0.4123077453
17	0.4048416685
18	0.3989707606
19	0.3939009688
20	0.3884323127
21	0.3838899694
22	0.3794795028
23	0.3745555255
24	0.3703222827
25	0.3668719732
26	0.3638843713
27	0.3610376248
28	0.3581009737
29	0.3551005464
30	0.3529962297
31	0.3505411778
32	0.3481855054
33	0.3465973984
34	0.3448895554
35	0.3428664941
36	0.341005976
37	0.3400479103
38	0.3384212089
39	0.3370334475
40	0.3358008913
41	0.3345889667
42	0.3333010051
43	0.3320259903
44	0.3309510659
45	0.3300309941
46	0.3290592243
47	0.3282356096
48	0.3271716036
49	0.3264352834
50	0.3257117817
51	0.3248316237
52	0.3241315803
53	0.3234426683
54	0.3226797706
55	0.3221074065
56	0.3214015762
57	0.3209934704
58	0.3201130425
59	0.3192589576
60	0.3187772705
61	0.3181617314
62	0.3176914353
63	0.317105149
64	0.3166914109
65	0.315999417
66	0.3153347476
67	0.314760597
68	0.3142536025
69	0.3137631668
70	0.3131531283
71	0.3126730619
72	0.3122800387
73	0.3118881277
74	0.3114284415
75	0.3109765285
76	0.3107121556
77	0.3103464763
78	0.3101387644
79	0.3097721257
80	0.309457276
81	0.3089725109
82	0.308638211
83	0.3084246723
84	0.3081887677
85	0.307622556
86	0.3072554772
87	0.3070601472
88	0.3068008882
89	0.3065051556
90	0.3060384447
91	0.3058566105
92	0.30539239
93	0.3050779515
94	0.3048732306
95	0.3043533613
96	0.3040506402
97	0.3038486161
98	0.3035605623
99	0.3033903701
100	0.3031275793
101	0.3027182657
102	0.3025488005
103	0.3023288115
104	0.3022071916
105	0.3019344202
106	0.3016943438
107	0.3015330802
108	0.3011179188
109	0.3008756126
110	0.3005834917
111	0.3003804213
112	0.3002346122
113	0.3001199052
114	0.2999912522
115	0.2997734191
116	0.2996235104
117	0.2994570706
118	0.2993374865
119	0.2991628053
120	0.2989477515
121	0.2987480912
122	0.2985790868
123	0.2983372523
124	0.2980203129
125	0.297528487
126	0.2973578421
127	0.2971745424
128	0.2970376047
129	0.2968965357
130	0.2967356573
131	0.2966096618
132	0.2965481568
133	0.2964438993
134	0.2962086198
135	0.2961947581
136	0.2959668382
137	0.295881364
138	0.2957387931
139	0.2952850536
140	0.2950834548
141	0.2949103403
142	0.2947696081
143	0.2946414147
144	0.2944729252
145	0.2943509029
146	0.2942501561
147	0.2940853986
148	0.293940869
149	0.2937853772
150	0.2936651003
151	0.2936025147
152	0.293499974
153	0.293341778
154	0.2932211242
155	0.293129008
156	0.2930357868
157	0.2929283805
158	0.2928227187
159	0.2926400541
160	0.2924942527
161	0.2924104689
162	0.2923215222
163	0.2920372115
164	0.2918219432
165	0.29167184
166	0.2915632179
167	0.2913990959
168	0.2912979648
169	0.2912077487
170	0.2910437042
171	0.2906868153
172	0.2905570918
173	0.2903309154
174	0.2901916176
175	0.2898332137
176	0.2897562127
177	0.2896210879
178	0.2895727561
179	0.2894704403
180	0.2893519978
181	0.2892748924
182	0.289160004
183	0.2890475911
184	0.288930672
185	0.2887518678
186	0.2886754871
187	0.2885667789
188	0.2885141013
189	0.2884570671
190	0.2883402676
191	0.2881912696
192	0.2881460187
193	0.2879754362
194	0.2878922475
195	0.2877607898
196	0.287728666
197	0.287584585
198	0.2874848862
199	0.2873879568
